(Parent) ASIN,(Child) ASIN,Title,Sessions – Mobile app,Sessions – Mobile APP – B2B,Sessions – Browser,Sessions – Browser – B2B,Sessions – Total,Sessions – Total – B2B,Session percentage – Mobile App,Session percentage – Mobile APP – B2B,Session percentage – Browser,Session percentage – Browser – B2B,Session percentage – Total,Session percentage – Total – B2B,Page views – Mobile app,Page views – Mobile APP – B2B,Page views – Browser,Page views – Browser – B2B,Page views – Total,Page views – Total – B2B,Page views percentage – Mobile App,Page views percentage – Mobile app – B2B,Page views percentage – Browser,Page views percentage – Browser – B2B,Page views percentage – Total,Page views percentage – Total – B2B,Featured Offer (Buy Box) percentage,Featured Offer (Buy Box) percentage – B2B,Units ordered,Units ordered – B2B,Unit Session Percentage,Unit session percentage – B2B,Ordered Product Sales,Ordered product sales – B2B,Total order items,Total order items – B2B,Units refunded,Units refunded – B2B,Refund Rate,Refund rate – B2B,Shipped product sales,Shipped Product Sales – B2B,Units shipped,Units Shipped – B2B,Orders shipped,Orders Shipped – B2B
B0H7K24Q8T,B08ZPFFBGC,"Rimmel Natural Bronzer, Silky-Smooth & Ultra-Fine Bronzing Powder, 001 Sunlight, 14g","3,506",12,"1,327",13,"4,833",25,0.23%,0.14%,0.18%,0.18%,0.21%,0.16%,"4,376",12,"1,690",15,"6,066",27,0.22%,0.11%,0.18%,0.15%,0.20%,0.13%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B094YZY231,B08ZPGGYK8,"BOURJOIS 1005-75773 Always Fabulous Bronzing Powder 002 9 G for adults, made for polished makeup and nail looks, 9 g",213,0,94,1,307,1,0.01%,0.00%,0.01%,0.01%,0.01%,0.01%,285,0,137,1,422,1,0.01%,0.00%,0.01%,0.01%,0.01%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B08ZYPN95Z,B08ZYPN95Z,VICTORIA VYNN Pure Creamy Hybrid 201 Formal Image,2,0,1,0,3,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2,0,1,0,3,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B08ZYPYSYH,B08ZYPYSYH,VICTORIA VYNN Pure Creamy Hybrid 198 Neat Attire,1,0,0,0,1,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1,0,0,0,1,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B08ZYR1YPM,B08ZYR1YPM,VICTORIA VYNN Pure Creamy Hybrid 200 Office Style,1,0,2,0,3,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1,0,2,0,3,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B091QC3X34,B091QC3X34,Victoria Vynn MOUSSE SCULPTURE GEL 50ml NEW Thixotropic Gel NEW CRYSTAL GLASS 01,12,0,5,1,17,1,0.00%,0.00%,0.00%,0.01%,0.00%,0.01%,13,0,8,2,21,2,0.00%,0.00%,0.00%,0.02%,0.00%,0.01%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B096KLKJGW,B092WHMQSK,Maybelline Express Brow Duo Eye Brow Pencil Natural Filling Dark Blonde,"1,148",4,"3,100",11,"4,248",15,0.07%,0.05%,0.43%,0.15%,0.19%,0.09%,"1,487",4,"3,247",14,"4,734",18,0.07%,0.04%,0.34%,0.14%,0.16%,0.08%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B096KLKJGW,B092WHNX7M,Maybelline Express Brow Duo Eye Brow Pencil Natural Filling Medium Brown,"1,409",8,578,1,"1,987",9,0.09%,0.09%,0.08%,0.01%,0.09%,0.06%,"1,731",8,741,1,"2,472",9,0.09%,0.07%,0.08%,0.01%,0.08%,0.04%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,1,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B096KLKJGW,B092WJ5SNH,Maybelline Express Brow Duo Eye Brow Pencil Natural Filling Black Brown,"1,070",3,451,5,"1,521",8,0.07%,0.04%,0.06%,0.07%,0.07%,0.05%,"1,337",3,560,6,"1,897",9,0.07%,0.03%,0.06%,0.06%,0.06%,0.04%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B096KLKJGW,B092WJKNSL,"Maybelline New York Express Brow Duo Eyebrow Filling, Natural Looking 2-In-1 Pencil Pen + Filling Powder Dark Brown","1,648",14,"1,253",5,"2,901",19,0.11%,0.16%,0.17%,0.07%,0.13%,0.12%,"1,989",17,"1,394",6,"3,383",23,0.10%,0.15%,0.15%,0.06%,0.11%,0.11%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B086BGM193,B0931HWLTC,"Sally Hansen Miracle Gel, Shock & Mauve, Gel-Like Nail Polish, NO UV Light Required, Chip-Resistant, Long Lasting - Up to 8 days, Easy to Use, Salon Quality Results, Vegan Formula, 14.7ml",598,4,270,3,868,7,0.04%,0.05%,0.04%,0.04%,0.04%,0.04%,689,4,309,3,998,7,0.03%,0.04%,0.03%,0.03%,0.03%,0.03%,0.90%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B0H3K7F7F2,B0931HXWZ3,"Rimmel Multi Tasker Concealer Honey, crease-proof, transfer-proof and waterproof, provides up to 24 hours of wear 10ml","1,440",4,521,5,"1,961",9,0.09%,0.05%,0.07%,0.07%,0.09%,0.06%,"1,769",4,622,8,"2,391",12,0.09%,0.04%,0.07%,0.08%,0.08%,0.06%,0.04%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B09RDCF9TQ,B093QB2PGX,"Max Factor Real Brow Duo Kit, 001 Fair",521,2,300,3,821,5,0.03%,0.02%,0.04%,0.04%,0.04%,0.03%,686,2,404,3,"1,090",5,0.03%,0.02%,0.04%,0.03%,0.04%,0.02%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B094936PNJ,B094936PNJ,Stargazer Matte finish lip stick 202. Maximum colour creamy lipstick with a no shine matte finish.,0,0,1,0,1,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,1,0,1,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B0F7941TZL,B0949C7T97,"Rimmel London Super Gel, Nail Polish, Shade 8-12g",63,0,35,0,98,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,86,0,45,0,131,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.83%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B0H6R42TK5,B0949H6SQ4,"Rimmel Super Gel, 33 R&B Rose, Long-Lasting Nail Polish, Glazed Finish, Easy Application, Gel-like Manicure, Chip Resistant, Clean Formula, 12ml","1,044",6,405,8,"1,449",14,0.07%,0.07%,0.06%,0.11%,0.06%,0.09%,"1,257",7,490,12,"1,747",19,0.06%,0.06%,0.05%,0.12%,0.06%,0.09%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B09RD84BHP,B095KR2WLR,"Max Factor Colour Elixir Lip Liner, Warm Brown 020",210,2,169,2,379,4,0.01%,0.02%,0.02%,0.03%,0.02%,0.03%,246,2,202,5,448,7,0.01%,0.02%,0.02%,0.05%,0.02%,0.03%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B095KS1JQC,B095KS1JQC,"Max Factor Colour Elixir Lip Liner, Lip Profiler, Shade 65 Red Sangria – 4 g, Red, Other",10,0,9,0,19,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,11,0,11,0,22,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B095L2LW47,B095L2LW47,Victoria Vynn GEL POLISH COLOUR 286 WOW EFFECT Art Hybrid UV/LED Soak Off,3,0,1,0,4,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3,0,1,0,4,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B095L2X5YH,B095L2X5YH,Victoria Vynn GEL POLISH COLOUR 283 ELECTRIC JOY Art Hybrid UV/LED Soak Off,3,0,2,0,5,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5,0,2,0,7,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,16.67%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B095L31LVG,B095L31LVG,Victoria Vynn GEL POLISH COLOUR 284 CRAZY IN LOVE Art Hybrid UV/LED Soak Off,1,0,1,0,2,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1,0,1,0,2,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B0965QX7MP,B0965QX7MP,Soap Brow Eyebrow Kit By Technic,4,0,1,0,5,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8,0,1,0,9,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,22.22%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B0BMDPMSQV,B0979CPBZD,"Rimmel London, Wonder’Care  Lash Serum, Clear",829,1,375,10,"1,204",11,0.05%,0.01%,0.05%,0.14%,0.05%,0.07%,"1,052",1,469,11,"1,521",12,0.05%,0.01%,0.05%,0.11%,0.05%,0.06%,0.07%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B08Q4YX824,B097BTKQ2Q,"Max Factor Miracle Touch Foundation, New and Improved Formula, SPF 30 and Hyaluronic Acid, Vanilla",720,2,622,5,"1,342",7,0.05%,0.02%,0.09%,0.07%,0.06%,0.04%,969,2,911,5,"1,880",7,0.05%,0.02%,0.10%,0.05%,0.06%,0.03%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B0H3JW76FL,B097BZ6FN7,"Max Factor Divine Lashes Volume Mascara, Black - Brown, 8 ml",64,1,70,1,134,2,0.00%,0.01%,0.01%,0.01%,0.01%,0.01%,74,1,92,1,166,2,0.00%,0.01%,0.01%,0.01%,0.01%,0.01%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B0BFC68FTX,B097C3PGWP,"Max Factor, Eyefinity All Day Eye Shadow, Soft Chestnut",550,1,218,0,768,1,0.04%,0.01%,0.03%,0.00%,0.03%,0.01%,699,1,315,0,"1,014",1,0.03%,0.01%,0.03%,0.00%,0.03%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B0BFC68FTX,B097C49YT9,"Max Factor, Eyefinity All Day Eye Shadow, Precious Gold",100,0,63,4,163,4,0.01%,0.00%,0.01%,0.05%,0.01%,0.03%,117,0,78,4,195,4,0.01%,0.00%,0.01%,0.04%,0.01%,0.02%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B0BFC68FTX,B097C4XYRQ,"Max Factor, Eyefinity All Day Eye Shadow, Divine Amber",185,1,107,1,292,2,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,213,1,133,1,346,2,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B0BFC68FTX,B097C5YRJ5,"Max Factor, Eyefinity All Day Eye Shadow, Lovely Rose",176,1,98,2,274,3,0.01%,0.01%,0.01%,0.03%,0.01%,0.02%,205,1,122,2,327,3,0.01%,0.01%,0.01%,0.02%,0.01%,0.01%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B0BFC68FTX,B097C6BLLM,"Max Factor, Eyefinity All Day Eye Shadow, Sultry Burgundy",548,3,162,0,710,3,0.04%,0.04%,0.02%,0.00%,0.03%,0.02%,669,6,206,0,875,6,0.03%,0.05%,0.02%,0.00%,0.03%,0.03%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B0BFC68FTX,B097C6HHS5,"Max Factor, Eyefinity All Day Eye Shadow, Teasing Bronze",334,0,140,3,474,3,0.02%,0.00%,0.02%,0.04%,0.02%,0.02%,413,0,174,3,587,3,0.02%,0.00%,0.02%,0.03%,0.02%,0.01%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B097QFQT15,B097QFQT15,"GLOSS FABULEUX lip gloss #06 3,5 ml",1,0,2,0,3,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1,0,2,0,3,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B097QGDQFN,B097QGDQFN,"GLOSS FABULEUX lip gloss #09 3,5 ml",3,0,2,0,5,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3,0,2,0,5,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B097QGP7B3,B097QGP7B3,"Gloss Fabuleux Brillo de labios 3,5 ml",29,1,19,0,48,1,0.00%,0.01%,0.00%,0.00%,0.00%,0.01%,39,1,26,0,65,1,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B097QH3B9M,B097QH3B9M,"GLOSS FABULEUX lip gloss #03 3,5 ml",59,2,67,1,126,3,0.00%,0.02%,0.01%,0.01%,0.01%,0.02%,81,2,95,1,176,3,0.00%,0.02%,0.01%,0.01%,0.01%,0.01%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B097QJSGGF,B097QJSGGF,"GLOSS FABULEUX lip gloss #05 3,5 ml",1,0,4,0,5,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1,0,6,0,7,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B097QJXHQZ,B097QJXHQZ,"GLOSS FABULEUX lip gloss #01 3,5 ml",9,0,12,0,21,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,11,0,13,0,24,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B097Y7JC2Z,B097Y7JC2Z,Silcare Base One Milkshake Gel Base 15g,4,0,5,0,9,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,9,0,7,0,16,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,28.57%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B0HF8PV491,B097Y7JC2Z,Silcare Base One Milkshake Gel Base 15g,6,0,0,0,6,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6,0,0,0,6,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B0HF8PV491,B097Y87PJQ,Silcare Gel Base One Cover 50g,9,0,5,2,14,2,0.00%,0.00%,0.00%,0.03%,0.00%,0.01%,10,0,17,13,27,13,0.00%,0.00%,0.00%,0.13%,0.00%,0.06%,7.41%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B0FK9LHRG6,B097Y87PJQ,Silcare Gel Base One Cover 50g,1,0,3,1,4,1,0.00%,0.00%,0.00%,0.01%,0.00%,0.01%,1,0,8,4,9,4,0.00%,0.00%,0.00%,0.04%,0.00%,0.02%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B0DFC3WBFN,B097Y87PJQ,Silcare Gel Base One Cover 50g,16,0,2,0,18,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,19,0,2,0,21,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,15.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B099LHHSLP,B099LHHSLP,VICTORIA VYNN Pure Creamy Hybrid 203 PINK SHOCK,2,0,1,0,3,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2,0,1,0,3,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B099LR5NSV,B099LR5NSV,VICTORIA VYNN Pure Creamy Hybrid 204 NEON CHIC,2,0,0,0,2,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2,0,0,0,2,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B099R8DN2H,B099R8DN2H,"Technic Colour Fix Full Coverage Buff Concealer, 10 ml",11,0,12,0,23,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,13,0,16,0,29,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,10.71%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B0CSFL6LP6,B099YMD3M9,"Revlon ColorStay Skin Awaken 5-in-1 Concealer 24HR Wear (30g) Fragrance & Paraben Free, Universal Neutraliser (015) Unisex",196,0,88,0,284,0,0.01%,0.00%,0.01%,0.00%,0.01%,0.00%,279,0,127,0,406,0,0.01%,0.00%,0.01%,0.00%,0.01%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B0CSFL6LP6,B099Z2RB12,"Revlon ColorStay Skin Awaken 5-in-1 Concealer 24HR Wear (30g) Fragrance & Paraben Free, 030 Light Medium, Unisex",256,1,124,0,380,1,0.02%,0.01%,0.02%,0.00%,0.02%,0.01%,372,1,197,0,569,1,0.02%,0.01%,0.02%,0.00%,0.02%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B09C93TYT2,B09C93TYT2,"GLOSS FABULEUX lip gloss #02 3,5 ml",15,0,25,0,40,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,21,0,31,0,52,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B09D3QK891,B09D3QK891,Superstay Activewear 30H Foundation 70-Cocoa 30 Ml,0,0,2,0,2,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,2,0,2,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B09DCV3CC2,B09DCV3CC2,Bruno Banani Woman Eau de Toilette 50 ml,21,1,27,0,48,1,0.00%,0.01%,0.00%,0.00%,0.00%,0.01%,30,1,33,0,63,1,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,1.79%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B0DTDYQGWH,B09DCYLT69,Bruno Banani Woman Eau de Parfum 50 ml,12,1,17,3,29,4,0.00%,0.01%,0.00%,0.04%,0.00%,0.03%,19,1,24,4,43,5,0.00%,0.01%,0.00%,0.04%,0.00%,0.02%,2.44%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B09DTRB76M,B09DTRB76M,Rimmel London Wonder’Full Brow 24HR Waterproof Brow Gel,0,0,1,0,1,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,1,0,1,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B09F8ZJ71J,B09F8ZJ71J,Intensive Serum Foundation SPF 40 - N-012 Porcelain by Bobbi Brown for Women - 1 oz Foundation,4,0,4,0,8,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6,0,5,0,11,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B09KNJGF8L,B09FY7FCHW,"Rimmel Kind + Free Moisturising Skin Tint Foundation, Rose Vanilla 150","1,044",6,446,9,"1,490",15,0.07%,0.07%,0.06%,0.12%,0.07%,0.09%,"1,202",7,553,11,"1,755",18,0.06%,0.06%,0.06%,0.11%,0.06%,0.08%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B09KNJGF8L,B09FY7J77L,"Rimmel Kind + Free Moisturising Skin Tint Foundation, Golden Beige 210","1,263",3,534,5,"1,797",8,0.08%,0.04%,0.07%,0.07%,0.08%,0.05%,"1,597",5,712,6,"2,309",11,0.08%,0.04%,0.07%,0.06%,0.08%,0.05%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B09KNJGF8L,B09FY7KCWL,"Rimmel Kind + Free Moisturising Skin Tint Foundation, Natural Beige 400","1,320",4,474,7,"1,794",11,0.08%,0.05%,0.07%,0.10%,0.08%,0.07%,"1,645",5,598,8,"2,243",13,0.08%,0.04%,0.06%,0.08%,0.08%,0.06%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B0G3PMXTYN,B09FY7NJ1Z,"Rimmel Kind + Free Natural Finish Pressed Powder, Light 020",421,1,206,4,627,5,0.03%,0.01%,0.03%,0.05%,0.03%,0.03%,568,1,280,4,848,5,0.03%,0.01%,0.03%,0.04%,0.03%,0.02%,0.25%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B0H3JJPY2W,B09FY7TGXK,"Rimmel Kind + Free Natural Finish Pressed Powder, Fair 010",621,2,413,4,"1,034",6,0.04%,0.02%,0.06%,0.05%,0.05%,0.04%,850,2,598,5,"1,448",7,0.04%,0.02%,0.06%,0.05%,0.05%,0.03%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B09KNJGF8L,B09FY7X22M,"Rimmel Kind + Free Moisturising Skin Tint Foundation, Latte 410",426,4,189,3,615,7,0.03%,0.05%,0.03%,0.04%,0.03%,0.04%,545,4,233,4,778,8,0.03%,0.04%,0.02%,0.04%,0.03%,0.04%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B09KNFV5DR,B09FY8178C,"Rimmel Kind + Free 24h Hydrating Concealer, Medium 030",339,3,177,1,516,4,0.02%,0.04%,0.02%,0.01%,0.02%,0.03%,438,4,212,2,650,6,0.02%,0.04%,0.02%,0.02%,0.02%,0.03%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B09FY863NX,B09FY863NX,"Rimmel Kind + Free Natural Finish Pressed Powder, Deep 050",348,3,184,3,532,6,0.02%,0.04%,0.03%,0.04%,0.02%,0.04%,453,3,247,3,700,6,0.02%,0.03%,0.03%,0.03%,0.02%,0.03%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B09FY8FZSB,B09FY8FZSB,"Rimmel Kind + Free Natural Finish Pressed Powder, Medium 030",196,2,147,0,343,2,0.01%,0.02%,0.02%,0.00%,0.02%,0.01%,244,2,209,0,453,2,0.01%,0.02%,0.02%,0.00%,0.02%,0.01%,0.47%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
B09KNFV5DR,B09FY8JHYQ,"Rimmel Kind + Free 24h Hydrating Concealer, Rich 050",231,2,128,1,359,3,0.01%,0.02%,0.02%,0.01%,0.02%,0.02%,306,2,179,1,485,3,0.02%,0.02%,0.02%,0.01%,0.02%,0.01%,0.00%,0.00%,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0,0.00%,0.00%,£0.00,£0.00,0,0,0,0
